name,address,phone,website,rating,reviews,status,lat,lng,category,commerce_mode,opening_hours,google_maps_url,onboarding_status,source
ANJANEYA COSMETIC AND FANCY,"ground Floor, NO 261, AS Char St, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",098793 00949,,3.3,45,OPERATIONAL,12.969684599999999,77.5754441,Cosmetics,A,Monday: 8:30 AM – 9:00 PM,https://maps.google.com/?cid=391075739629316219&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Beauty Collection,"Shop Number 23 Ground Floor, P S Lane, Cross, Chickpet, Bengaluru, Karnataka 560053, India",070732 97562,,4.9,59,OPERATIONAL,12.9700933,77.5741776,Cosmetics,A,Monday: 9:00 AM – 9:00 PM,https://maps.google.com/?cid=3877061355894648831&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
HEERA NOVELTIES-wholesale cosmetic dealer in bangalore,"GROUND FLOOR, SAFENA COMPLEX, Kumbarpet Main Rd, opposite to FMC COMPLEX, Ragipet, Kumbarpet, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002, India",098867 97356,,4.6,66,OPERATIONAL,12.9662788,77.57859549999999,Cosmetics,A,Monday: 9:00 AM – 9:00 PM,https://maps.google.com/?cid=4539997418399342961&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
JAI MAA COSMETICS,"BMG Complex, Avenue Road Cross, Medarpet, Kumbarpet, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002, India",081970 66459,,4.7,9,OPERATIONAL,12.9672734,77.5784648,Cosmetics,A,Monday: Open 24 hours,https://maps.google.com/?cid=8892373309116832073&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Kumar Stores - Authentic Beauty Products | Cosmetics | Makeup Products,"28, Diwan Khan Ln, Medarpet, Kumbarpet, Ganigarpet, Nagarathpete, Bengaluru, Karnataka 560002, India",098456 35730,https://www.kumarstores.in/,4.2,2541,OPERATIONAL,12.966941199999999,77.5790852,Cosmetics,A,Monday: 9:00 AM – 8:30 PM,https://maps.google.com/?cid=1103325094954457741&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
MAHALAXMI GENERAL STORES,"40/1, patnool pet, O.T.Pet, KR Market, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",080 2238 6558,,4.5,4,OPERATIONAL,12.967283499999999,77.57633899999999,Cosmetics,A,Monday: 9:00 AM – 8:30 PM,https://maps.google.com/?cid=14338460478889777536&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
MAMTA COSMETICS,"3rd FLOOR, Laxmi Complex, SHOP NO 5/6, PS Char Ln, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",080508 69783,https://wixonstores.quickeselling.com/,5,3,OPERATIONAL,12.9695889,77.5749441,Cosmetics,A,Monday: 9:00 AM – 9:00 PM,https://maps.google.com/?cid=13532227359540302870&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
MANOJ FANCY STORE & DIGITAL SERVICES,"Shop No 2, Pawan Plaza, No 204, Akkipete Main Rd, Akkipete, Chickpet, Bengaluru, Karnataka 560053, India",080737 48067,http://www.vgotrip.in/,4.7,26,OPERATIONAL,12.970234399999999,77.5716393,Cosmetics,A,Monday: 10:00 AM – 10:00 PM,https://maps.google.com/?cid=17892877430923395483&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
MARUTHI COSMETICS,"No 6/4, Laxmi Complex, AS Char St, behind RAGHAVENDRA HOTEL, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",077603 20402,https://youtu.be/UshXPOGngK4,4.8,23,OPERATIONAL,12.9694372,77.574765,Cosmetics,A,Monday: 10:00 AM – 8:00 PM,https://maps.google.com/?cid=962231426381873219&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
MATAJI COSMETICS,"9 ,Mohana Jineshwara Complex , ground floor 3rd cross, PS Char Ln, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",089553 95027,https://www.instagram.com/mataji_cosmetics?igsh=MXZrZ2o4YTUzaHl1Yw==,4.9,61,OPERATIONAL,12.9702089,77.57384830000001,Cosmetics,A,Monday: 8:00 AM – 10:00 PM,https://maps.google.com/?cid=7578673876986605067&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
