name,category,commerce_mode,rating,reviews,phone,address,google_maps_url,onboarding_status
Puckraj and sons,General,B,4.0,17468.0,094487 71841,"Avenue Rd, opp. to saptagiri galore, Ragipet, KR Market, Dodpete, Chickpet, Bengaluru, Karnataka 560002, India",https://maps.google.com/?cid=8349975160244630287&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Raja Market,General,B,4.1,7135.0,,"162, Avenue Rd, Kumbarpet, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002, India",https://maps.google.com/?cid=1021286752845350523&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Sri Venkateshwara Sweetmeat Stall (original),General,B,4.3,5410.0,080 4151 1957,"181, Balepete Main Rd, near to upparpet Police Station, Balepete, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=3184425452794950256&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Deco & Toys,Toys,A,4.1,4544.0,080 4114 0032,"210-211, 210, Kumbarpet Main Rd, Ragipet, KR Market, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002, India",https://maps.google.com/?cid=11049642386205769862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Sunday Market,FMCG,A,4.0,4581.0,,"Arcot Srinivasa Char Cross St, SKR Market, Old Tharagupet, Mamulpet, Chickpet, Bengaluru, Karnataka 560002, India",https://maps.google.com/?cid=6834609232144287432&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Sunday Bazar Bengaluru,General,B,4.0,3533.0,,"209, Sultanpete Main Rd, E Block, Santhusapet, Sultanpete, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=6230136931422561115&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Sudarshan Silks - Chickpete,Saree,B,3.8,2146.0,080 4330 0400,"No 915, 234, Chickpet Rd, opp. Rukmini Hall Ragipet, Ragipet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=17256914544654759206&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Subhas Stores - The Book Mall,General,B,4.1,1920.0,080 2225 6624,"first floor, subhas complex, No72, Avenue Rd, above seema creations, Ballapurpet, Nagarathpete, Bengaluru, Karnataka 560002, India",https://maps.google.com/?cid=1489835663225387227&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
"Kanchi Apex Society | Renowned Kanchipuram Saree Shop & Silk Saree Shop in Chickpet, Bangalore",Saree,B,4.8,1453.0,089711 33443,"1st floor 254, 1, BVK Iyengar Rd, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=4234579959383174675&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Vanitha Sanitaryware & Hardware,Hardware,B,4.9,1180.0,096628 80844,"2, 6th Cross Rd, Anchepet, Kilari Rd, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=9564184494545022456&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Tushar Impex,General,B,4.6,1184.0,082173 96388,"No.24, opposite Venkateshwara Sweets, Balepete, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=18266864667837676631&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
PARICHAY FOR COMPLETE MAN,General,B,4.8,1042.0,082172 41632,"701, Chickpet Rd, opp. to Kuberan Silks, Ragipet, Anchepet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=10680167563612126326&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Golden Card Creation,Wedding Cards,B,4.6,1019.0,096323 90082,"55, KV Temple Street Cross, Sowrashtrapet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=13056636705377867495&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Sri RamaVilas Sweets (Gundappa Hotel),General,B,4.4,1047.0,080 2222 2055,"14,Shri Dharmaraya swami temple main road, Old Taluk Cutchery Rd, Thigalarpet, Ganigarpet, Nagarathpete, Bengaluru, Karnataka 560002, India",https://maps.google.com/?cid=574453056304887671&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
